nominativo,regione,sesso,città_nascita,lat,lon,scheda,link,id
Giobatta Braida,Friuli Venezia Giulia,M,Palazzolo dello Stella (UD),45.79815,13.08381,"Nato a Palazzolo dello Stella (UD) l’11 gennaio 1926, sarto Nome di battaglia “Geri” Divisione Garibaldi, Sinistra Tagliamento Partigiano combattente Lo affianca nell’intervista la sorella Fides Braida, nata il 24 luglio 1929 L’intervista è stata realizzata nel gennaio 2026",https://www.noipartigiani.it/braida/,1154999413
Bianca Bergamaschi,Lombardia,F,S. Giacomo delle Segnate (MN),44.97232,11.03366,"Nata a Malcantone di San Giacomo delle Segnate (MN) nel 1930 Racconta la sua attività con la staffetta Ninfa Cappi in appoggio ai partigiani garibaldini La testimonianza è tratta da l film “Bianca, il racconto di vita di una donna, la storia di una comunità” realizzato da Barbara Bizzarri nel 2024",https://www.noipartigiani.it/bergamaschi_bianca/,1146995499
Anselmo Alberti,Toscana,M,Forno (MS),44.08115,10.2033,"Nato a Forno (MS) nel 1927, pastore È testimone della strage di Forno quando, il 13 giugno 1944, i nazisti e la X Mas uccisero 60 persone tra partigiani e civili. I due sopravvissuti alla fucilazione a cui fa riferimento nell’intervista sono Carlo Vivoli e Francio Del Sarto. Il tenente della Xª Mas Umberto Bertozzi, venne prima condannato e poi amnistiato perciò non andò mai in carcere. L’intervista è stata realizzata da Alberto Grossi, Ruggero Fruzzetti e Massimo Michelucci nel 1994",https://www.noipartigiani.it/alberti_anselmo/,
Domenico Fruzzetti,Toscana,M,Forno (MS),44.08115,10.2033,"Nato a Forno (MS) il 17 marzo 1924 Sap Montignosi Racconta la strage di Forno quando, il 13 giugno 1944, i nazisti e la X Mas uccisero 60 persone tra partigiani e civili. Domenico fu deportato in Germania e ritornò in Italia un anno dopo, il 13 giugno 1945 Il tenente della Xª Mas Umberto Bertozzi, venne prima condannato e poi amnistiato perciò non andò mai in carcere L’intervista è stata realizzata da Alberto Grossi, Ruggero Fruzzetti e Massimo Michelucci nel 1994",https://www.noipartigiani.it/fruzzetti/,1145586846
Franco Aliberti,Piemonte,M,Canelli (AT),44.72147,8.28681,"Nato a Canelli (CN) nel 1926, contadino Arrestato nella sua vigna con l’accusa di essere un partigiano, fu deportato nel lager di Bolzano e poi nel campo di sterminio di Flossenbürg , numero 43470 Qui racconta il viaggio verso la Germania e la liberazione avvenuta nell’aprile 1945 Il filmato è stato registrato nel 2012",https://www.noipartigiani.it/aliberti_franco/,1142105426
Ersilia Azzi,Lazio,F,Roma,41.89332,12.48293,"Nata a Roma il 12 febbraio 1923, studentessa Nome di battaglia “Cino” Staffetta 1ª Divisione Langhe Il padre, generale Arnaldo Azzi, l’8 settembre si trovava in Albania e rifiutò di arrendersi ai tedeschi. Con la sua divisione passò nelle fila della Resistenza albanese e nel dopoguerra fece parte dell’Assemblea Costituente. La testimonianza di Ersilia è contenuta nel libro “Innamorate della libertà. Donne e Resistenza” di Erika Peirano",https://www.noipartigiani.it/azzi_ersilia/,1145903115
Olga Guerra,Emilia Romagna,F,Sarsina (FC),43.9189,12.14382,"Nata a Pieve di Rivoschio, Sarsina (FC) il 14 luglio 1926 Staffetta per l’8ª Brigata Garibaldi Nell’intervista fa riferimento a Salvatore “Giulio” Auria, classe 1916, ucciso in combattimento il 21 aprile 1944, Medaglia d’Argento alla memoria. Ilario “Pietro” Tabarri era il comandante dell’8ª Brigata che Olga sposerà dopo la guerra, Andrea Gualdi il partigiano della formatione Corbari con cui Olga passerà gran parte della sua vita. L’intervista è stata realizzata nel febbraio 2008",https://www.noipartigiani.it/guerra_olga/,1145905698
Don Aldo Benevelli,Piemonte,M,Monforte d'Alba (CN),44.58284,7.96918,"Nato a Monforte d’Alba (CN) il 29 dicembre 1923, seminarista 3ª Divisione Alpi, Servizio X struttura di spionaggio Fu ordinato sacerdote nel 1948 Sulla sua esperienza Giovanni Cerutti e Claudio Mondino hanno scritto il libro “Aldo Benevelli. Partigiano e prete” L’intervista è stata realizzata nel 2012",Non trovato nel Foglio3,#N/A
Gina Saracco,Piemonte,F,San Secondo di Pinerolo (TO),44.86659,7.29953,"Nata a San Secondo di Pinerolo (TO) il 4 ottobre 1926 , studentessa Partigiana combattente Vª Divisione Giustizia e Libertà L’intervista è stata realizzata nel 2016",https://www.noipartigiani.it/saracco_gina/,1143065312
Riccardo Jori,Liguria,M,Genova,44.40726,8.93386,"Nato a Genova nel 1931 Racconta dello zio Germano, classe 1904, perseguitato, confinato, poi capo dei Gap genovesi. Fu ucciso dalle Brigate Nere il 13 luglio 1944. È Medaglia d’Argento alla memoria. Un altro zio, Orazio fratello di Germano, fu incarcerato benché molto malato di tubercolosi e morì. L’intervista è stata realizzata nel novembre 2012",https://www.noipartigiani.it/jori/,1145880418
Giuseppe Beretta,Liguria,M,S. Margherita Ligure (GE),44.33145,9.21319,"Nato a San Lorenzo della Costa, Santa Margherita Ligure (GE) il 31 dicembre 1928 Patriota Brigata “Berto” Nell’intervista fa riferimento ai compagni con cui andò in montagna, Andrea “Urano” Solari, 1925, e Luigi “Caino” Cabona, 1926 e a due partigiani caduti Simone Stefani ucciso il 4 agosto 1944 e Silvio “Berto” Solimano , morto il 27 agosto 1944 Silvio Solimano è Medaglia d’Oro alla memoria L’intervista è stata realizzata da Marina Marchetti nel 2004",https://www.noipartigiani.it/beretta/,1141426313
Emilio Franzone,Liguria,M,Pontedecimo (GE),44.49887,8.90562,"Nato a Pontedecimo, Genova, il 20 luglio 1926, operaio Brigata Sap “Rissotto” La Croce Verde, pubblica assistenza sanitaria, era il punto di ritrovo degli antifascisti e dei giovani vicini alla Resistenza di Pontedecimo Nell’intervista fa riferimento alla strage della Benedicta dove, tra il 6 e l’11 aprile 1944, fuorno uccisi 147 partigiani L’intervista è stata realizzata nell’ottobre 2010",https://www.noipartigiani.it/franzone/,1139987246
Emilio Roncagliolo,Liguria,M,S. Margherita Ligure (GE),44.33145,9.21319,"Nato a Santa Margherita Ligure (GE) l’8 agosto 1924 Nome di battaglia “Lesta” Vicecomandante di brigata Divisione “Cichero” comandata da Aldo Gastaldi “Bisagno”, Battaglione “Berto” Medaglia d’argento al Valor Militare Nell’intervista è citato il Battaglione Vestone della divisione alpina Monterosa che Bisagno, nel novembre 1944, convinse a passare in massa nelle file partigiane. L’intervista è stata realizzata dall’associazione “Radici con le ali” nel 2000",https://www.noipartigiani.it/roncagliolo/,1137700139
Elia Somenzi,Lombardia,M,Treviglio (BG),45.52044,9.59374,"Nato a Treviglio (BG) nel novembre 1928 Militò nella Brigata Treviglio dove andò con alcuni anarchici conosciuti in carcere Con il padre Ermanno, ispettore nelle filande, si adoperò per nascondere e far espatriare in Svizzera i bambini ebrei che venivano nascosti nei camion che trasportavano i fiocchi di seta. In questa attività clandestina era attivo anche Don Eugenio Bussa, riconosciuto Giusto tra le nazioni L’intervista è stata realizzata nel gennaio 2017",https://www.noipartigiani.it/somenzi/,1138113272
Anna Maria Polo,Piemonte,F,Alpignano (TO),45.09459,7.52445,"Nato ad Alpignano (TO) il 6 luglio 1924, impiegata Nome di battaglia “Mara” Sottotenente 41ª Brigata Garibaldi, 17ª Brigata Garibaldi Nell’intervista fa riferimento al fratello Francesco, partigiano nella 43ª Divione “Sergio De Vitis”, Brigata “Ferruccio Gallo”. Cita anche Celeste Negarville, membro della giunta del Comitato di Liberazione Nazionale, nel dopoguerra sindaco di Torino e direttore de “L’Unità”",Non trovato nel Foglio3,#N/A
Pasqualino Pesce,Liguria,M,Sassello (SV),44.47953,8.49015,"Nata a Sassello (SV) nel 1933, studente Racconta l’omicidio di Don Domenico Minetti, sacerdote della Maddalena a Sassello, ucciso dai fascisti della San Marco il 21 ottobre 1944 con la falsa accusa di dare ospitalità ai partigiani L’intervista è tratta da “Un bindolo”, videoracconto realizzato da Alberto Chiossone nel 2021",https://www.noipartigiani.it/pesce_pasqualino/,1139386410
Giacomo Pesce,Piemonte,M,Morbello (AL),44.60641,8.51139,"Nato a Morbello (AL) l’8 maggio 1922, operaio Nome di battaglia “Sandro” 1ª Brigata Giustizia e Libertà, Divisione Garibaldi “Viganò”, comandante del distaccamento “Quaranta” L’intervista è stata realizzata nel luglio 2011",https://www.noipartigiani.it/pesce_giacomo/,1139241503
Alessandro Raviolo,Piemonte,M,Serravalle Scrivia (AL),44.72251,8.85966,"Nato a Serravalle Scrivia (AL) il 22 giugno 1925, ferroviere 16 ª Divisione Viganò, Brigata “Vittorio” L’intervista è stata realizzata nell’ottobre 2011",https://www.noipartigiani.it/raviolo/,1139238077
Elisa Rubinelli,Piemonte,F,Chiavazza (BI),45.56545,8.07338,"Nata a Chiavazza (BI) il 19 novembre 1931 Benché bambina, fece parte di un gruppo di ragazze che lavoravano come stafette e supporto ai partigiani Nell’intervista fa riferimento all’eccidio dell’21 febbraio 1944 in cui furono uccisi sette partigiani tra cui Palmino Camerlo, classe 1925, fratello di Mauro che sarà partigiano nella 50ª Brigata Garibaldi e che sposerà Elisa nel 1949 L’intervista è stata realizzata da Giulia Arduino nell’ottobre 2025",https://www.noipartigiani.it/rubinelli/,1138026600
Catterina Arezzo,Piemonte,F,Cavour (TO),44.78652,7.37503,Nata a Cavour (TO) il 28 giugno 1922 Nome di battaglia “Rina” 105ª Brigata Garibaldi Staffetta L’intervista è stata realizzata nel 2005,https://www.noipartigiani.it/arezzo_catterina/,1133910857
Marisa Diena,Piemonte,F,Torino,45.06775,7.68249,"Nata a Torino il 29 settembre 1916, studentessa Nome di battaglia “Mara” 4ª Brigata Garibaldi Servizio informazioni, Gruppi di Difesa della donna Racconta la morte del fratello Franco “Ferrero”, ucciso in azione il 29 settembre 1944 Sulla sua esperienza, Marisa Diena ha scritto i libri ” Guerriglia e autogoverno. Brigate Garibaldi nel Piemonte occidentale 1943-’45” e “Un intenso impegno civile: ricordi autobiografici del Novecento” L’intervista è stata realizzata da Francesco Perrone nel marzo 2003",https://www.noipartigiani.it/diena_marisa/,1134549318
Maria Goretti,Lombardia,F,Marcallo Casone (MI),45.48512,8.87978,"Nata a Marcallo Casone (MI) il 26 giugno 1929 Ha svolto attività di supporto ai partigiani nel quartiere di Baggio, a Milano. L’intervista è stata realizzata da Maurizio Pratt nel febbraio 2022",https://www.noipartigiani.it/goretti_maria/,1133552822
Alberto Pagos,Liguria,M,Campomorone (GE),44.50742,8.89139,"Nato a Isoverde, Campomorone (GE) il 14 maggio 1925, operaio Nome di battaglia “Fulmine” 219ª Brigata Sap “Longhi” che operava nella fabbrica Ansaldo Fossati di Genova L’intervista è stata realizzata nel novembre 2006",https://www.noipartigiani.it/pagos_1/,1130265633
Antonio Parodi,Piemonte,M,Montabone (AT),44.69974,8.39121,"Nato a Montabone (AT) nel 1924, contadino IMI, Internato Militare Italiano Granatiere a Roma, l’8 settembre cerca di tornare a casa , ma viene catturato sul treno e deportato in Germania L’intervista è stata realizzata nell’ottobre 2025",https://www.noipartigiani.it/parodi/,1131648376
Ezio Rostan,Piemonte,M,Prali (TO),44.88879,7.04944,"Nato a Prali (TO) il 29 aprile 1927 Brigata Val Germanasca, Vª Divisione Giustizia e Libertà Ha svolto attività di staffetta e supporto alle formazioni in cui militava il cugino Remo Ferrier, 25 anni, ucciso dai tedeschi l’11 febbario 1945 L’intervista è stata realizzata nell’ottobre 2008",https://www.noipartigiani.it/rostan/,1130927986
Vittorio Antonini,Toscana,M,Marradi (FI),44.04753,11.61466,Nato a Marradi (Fi) il 12 settembre 1925 Nome di battaglia “Dario” 36ª Brigata Bianconcini,https://www.noipartigiani.it/antonini/,1130924691
Loris Vegetti,Lombardia,M,Milano,45.46419,9.18963,"Nato a Milano il 18 settembre 1925, studente Nome di battaglia “Vega” Brigata Stella Rossa Sergente Maggiore Sulla sua esperienza ha scritto il libro “Il mio nome era Vega” L’intervista è stata realizzata nel 2012 per il cortometraggio “43-12 Riprendere la Resistenza”",https://www.noipartigiani.it/vegetti/,1130916493
Franco Pasquet,Piemonte,M,Torre Pellice (TO),44.8211,7.22416,"Nato a Torre Pellice (TO) il 4 settembre 1925, studente Nome di battaglia “Francis” Partigiano Combattente V ª Divisione Giustizia e Libertà, Brigata Val Pellice. Brigata Dino Buffa Nell’intervista fa riferimento a Matteo Gay “Mathieu”, classe 1879, deputato socialista che partecipò alla Resistenza",https://www.noipartigiani.it/pasquet/,1130881342
Michele Patrone,Liguria,M,Rapallo (GE),44.35122,9.23,"Nato a Rapallo (GE) il 29 giugno 1924 Nome di battaglia “Falco” Distaccamento “Mandorli” Nell’intervista fa riferimento al Vestone, battaglione di alpini passato in massa alla Resistenza il 4 novembre 1944 Cita anche il partigiano Ezio Lucarno “Cialacche”, nato nel 1926 morto il 28 novembre 1944, Medaglia d’oro alla memoria L’intervista è stata realizzata nel 2004 da Marina Marchetti",https://www.noipartigiani.it/patrone/,1130880979
Eginia Manfé,Veneto,F,Caneva (PN)*,45.97232,12.44967,"Nata a Sarone frazione di Caneva (PN) il 16 giugno 1925 Staffetta per la formazione “Nino Nanetti” Catturata dai tedeschi e minacciata di fucilazione, si salvò grazie a uno scambio organizzato dai partigiani L’intervista è stata realizzata nel 2015",https://www.noipartigiani.it/manfe/,1130880822
Giuseppe Rinaldi,Lombardia,M,Grosio (SO),46.33161,10.27506,"Nato a Grosio (SO) il 2 novembre 1923, operaio Nome di battaglia “Ivan” Divisione Alpina Valtellina “Giustizia e Libertà” Brigata “Mortirolo”, Squadra d’assalto “La Tredici”",https://www.noipartigiani.it/rinaldi/,1130266436
Silvio Fontanelli,Liguria,M,Rosario (ARG),-32.95113,-60.66633,"Nato a Rosario di Santa Fé (Argentina) il 21 gennaio 1924, studente Nome di battaglia “Nutti” Banda Nicola, Divisione Cichero, Brigata Matteotti Val Bisagno, Formazione di studenti “Curtatone e Montanara” Nell’intervista fa riferimento a Giuseppe Salvarezza “Pinan”, classe 1922, ucciso in combattimento il 15 dicembre 1944. Il suo nome venne dato alla formazione diventata “Pinan Cichero” e ha ricevuto la Medaglia d’oro alla Memoria L’intervista è stata realizzata da Marina Marchetti nel 2004",https://www.noipartigiani.it/fontanelli-2/,1129521920
Carlo Saracco,Piemonte,M,Canelli (AT)*,44.72147,8.28681,"Nato a Canelli (CN) il 5 dicembre 1923, muratore Dopo l’8 settembre 1943 fu deportato a Bochum, un sottocampo del lager di Buchenvald dove ha trascorso 22 mesi L’intervista è stata realizzata da Gianna Menabreaz e Federica Parone",https://www.noipartigiani.it/saracco_carlo/,1123601128
Giuseppe Massari,Toscana,M,Pontremoli (MS),44.37761,9.88241,"Nato a Pontremoli (MS) il 14 marzo 1926, contadino Nome di battaglia “Gigio” Battaglione “Guido Picelli”, Formazione Beretta Racconta la vicenda di Dante Castellucci “Facio”, partigiano calabrese della Banda Cervi sfuggito alla cattura con uno stratagemma e riparato in Lunigiana dove diventa comandante di una formazione. Ha combattuto anche la celebre battaglia del Lago Santo dove nove partigiani sorpresi in una baita resistettero per venti ore a decine di nazifascisti salvandosi tutti. Facio verrà ucciso il 22 luglio 1944 da altri partigiani che lo accusano di furto. Massari fa riferimento ad Antonio Cabrelli “Salvatore” che con Facio aveva...",https://www.noipartigiani.it/massari/,1123232655
Livio Nobili,Emilia Romagna,M,Migliarino (FE),44.77098,11.93297,"Nato a Migliarino di Ferrara nel 1932 Racconta del padre Federico Raul, nato a Porto Maggiore di Ferrara l’11 dicembre 1902. Trasferitosi con la famiglia a Santa Margherita Ligure per sfuggire alle persecuzioni del fascismo, divenne capo del Comitato di Liberazione locale. Arrestato con i suoi compagni il Primo marzo 1944, fu portato al comando tedesco dove venne atrocemente seviziato. Il suo corpo non fu mai ritrovato, probabilmente bruciato nella caldaia dell’hotel Miramare che ospitava i nazisti. L’intervista è stata realizzata da Marina Marchetti nel 2004",https://www.noipartigiani.it/nobili_livio/,1125569702
Giacomo Gastaldi,Liguria,M,Genova,44.40726,8.93386,"Nato a Genova nel 1932 Racconta i suoi ricordi del fratello Aldo “Bisagno” Gastaldi, classe 1921, comandante della Divisione Cichero, la figura più nota della Resistenza Ligure. Bisagno morì in un incidente stradale sul Lago di Garda il 21 maggio 1945. È Medaglia d’Oro alla Memoria. Nell’intervista Giacomo Gastaldi fa riferimento a Giovanni Serbandini “Bini”, esponente del Partito Comunista che contattò Aldo Gastaldi benché questi non appartenesse a nessun partito e fosse un convinto cattolico: nel 2019 la curia genovese ha iniziato la sua causa di beatificazione. L’intervista è stata realizzata da Marina Marchetti nel 2004",https://www.noipartigiani.it/gastaldi/,1125793998
Luigi Campora,Piemonte,M,Ovada (AL),44.6369,8.64415,"Nato a Ovada (AL) il 20 aprile 1925 Nome di battaglia “Ciapaiev” Brigata Olivieri Nell’intervista fa riferimento a Grca Cupic “Boro”, prigioniero di guerra jugoslavo evaso dalle carceri di Fossano (CN) che si unì ai partigiani ovadesi. Il nome di battaglia che dà a Campora fa probabilmente riferimento a Čapaev eroe rivoluzionario di un film sovietico uscito nel 1934. L’intervista è stata realizzata nel 2016",https://www.noipartigiani.it/campora/,1121147887
